WeekDay,Today ,History ,Number,Counter,Friday,NoFriday,CounterFriday,CounterNoFriday,Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday
Tuesday,Tuesday Day of Wrath ,15/03/2011,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,Wednesday ,16/03/2011,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,Thursday ,17/03/2011,0,0,0,0,0,0,0,0,0,0,0,0
Friday,First Friday ,18/03/2011,4,4,4,0,4,0,0,0,0,0,0,0
Saturday,Saturday ,19/03/2011,1,5,0,1,4,1,0,0,0,0,1,0
Sunday,Sunday ,20/03/2011,2,7,0,2,4,3,0,0,0,0,0,2
Monday,Monday ,21/03/2011,1,8,0,1,4,4,1,0,0,0,0,0
Tuesday,Tuesday ,22/03/2011,7,15,0,7,4,11,0,7,0,0,0,0
Wednesday,Wednesday ,23/03/2011,52,67,0,52,4,63,0,0,52,0,0,0
Thursday,Thursday ,24/03/2011,0,67,0,0,4,63,0,0,0,0,0,0
Friday,Fri dignity ,25/03/2011,20,87,20,0,24,63,0,0,0,0,0,0
Saturday,Saturday ,26/03/2011,15,102,0,15,24,78,0,0,0,0,15,0
Sunday,Sunday ,27/03/2011,6,108,0,6,24,84,0,0,0,0,0,6
Monday,Monday ,28/03/2011,7,115,0,7,24,91,7,0,0,0,0,0
Tuesday,Tuesday ,29/03/2011,0,115,0,0,24,91,0,0,0,0,0,0
Wednesday,Wednesday ,30/03/2011,6,121,0,6,24,97,0,0,6,0,0,0
Thursday,Thursday ,31/03/2011,0,121,0,0,24,97,0,0,0,0,0,0
Friday,Fri martyrs ,1/4/11,29,150,29,0,53,97,0,0,0,0,0,0
Saturday,Saturday ,2/4/11,0,150,0,0,53,97,0,0,0,0,0,0
Sunday,Sunday ,3/4/11,0,150,0,0,53,97,0,0,0,0,0,0
Monday,Monday ,4/4/11,0,150,0,0,53,97,0,0,0,0,0,0
Tuesday,Tuesday ,5/4/11,4,154,0,4,53,101,0,4,0,0,0,0
Wednesday,Wednesday ,6/4/11,0,154,0,0,53,101,0,0,0,0,0,0
Thursday,Thursday ,7/4/11,0,154,0,0,53,101,0,0,0,0,0,0
Friday,Fri withstand ,8/4/11,74,228,74,0,127,101,0,0,0,0,0,0
Saturday,Saturday ,9/4/11,5,233,0,5,127,106,0,0,0,0,5,0
Sunday,Sunday ,10/4/11,21,254,0,21,127,127,0,0,0,0,0,21
Monday,Monday ,11/4/11,7,261,0,7,127,134,7,0,0,0,0,0
Tuesday,Tuesday ,12/4/11,8,269,0,8,127,142,0,8,0,0,0,0
Wednesday,Wednesday ,13/04/2011,2,271,0,2,127,144,0,0,2,0,0,0
Thursday,Thursday ,14/04/2011,1,272,0,1,127,145,0,0,0,1,0,0
Friday,Fri insist ,15/04/2011,11,283,11,0,138,145,0,0,0,0,0,0
Saturday,Saturday ,16/04/2011,4,287,0,4,138,149,0,0,0,0,4,0
Sunday,Sunday ,17/04/2011,44,331,0,44,138,193,0,0,0,0,0,44
Monday,Monday ,18/04/2011,4,335,0,4,138,197,4,0,0,0,0,0
Tuesday,Tuesday ,19/04/2011,10,345,0,10,138,207,0,10,0,0,0,0
Wednesday,Wednesday ,20/04/2011,0,345,0,0,138,207,0,0,0,0,0,0
Thursday,Thursday ,21/04/2011,4,349,0,4,138,211,0,0,0,4,0,0
Friday,Good Friday ,22/04/2011,157,506,157,0,295,211,0,0,0,0,0,0
Saturday,Saturday ,23/04/2011,48,554,0,48,295,259,0,0,0,0,48,0
Sunday,Sunday ,24/04/2011,36,590,0,36,295,295,0,0,0,0,0,36
Monday,Monday ,25/04/2011,21,611,0,21,295,316,21,0,0,0,0,0
Tuesday,Tuesday ,26/04/2011,29,640,0,29,295,345,0,29,0,0,0,0
Wednesday,Wednesday ,27/04/2011,14,654,0,14,295,359,0,0,14,0,0,0
Thursday,Thursday ,28/04/2011,26,680,0,26,295,385,0,0,0,26,0,0
Friday,Fri anger ,29/04/2011,162,842,162,0,457,385,0,0,0,0,0,0
Saturday,Saturday ,30/04/2011,5,847,0,5,457,390,0,0,0,0,5,0
Sunday,Sunday ,1/5/11,65,912,0,65,457,455,0,0,0,0,0,65
Monday,Monday ,2/5/11,2,914,0,2,457,457,2,0,0,0,0,0
Tuesday,Tuesday ,3/5/11,10,924,0,10,457,467,0,10,0,0,0,0
Wednesday,Wednesday ,4/5/11,2,926,0,2,457,469,0,0,2,0,0,0
Thursday,Thursday ,5/5/11,2,928,0,2,457,471,0,0,0,2,0,0
Friday,Fri challenge ,6/5/11,43,971,43,0,500,471,0,0,0,0,0,0
Saturday,Saturday ,7/5/11,14,985,0,14,500,485,0,0,0,0,14,0
Sunday,Sunday ,8/5/11,25,1010,0,25,500,510,0,0,0,0,0,25
Monday,Monday ,9/5/11,4,1014,0,4,500,514,4,0,0,0,0,0
Tuesday,Tuesday ,10/5/11,18,1032,0,18,500,532,0,18,0,0,0,0
Wednesday,Wednesday ,11/5/11,29,1061,0,29,500,561,0,0,29,0,0,0
Thursday,Thursday ,12/5/11,3,1064,0,3,500,564,0,0,0,3,0,0
